bango     ,title                                                                                                                                                                                 ,link                       ,j_actors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,d_actors                                    ,category
SSIS-160  ,未公開映像収録のプレミアムエディション！ディレクターズカット版 新人NO.1STYLE 河北彩花AVデビュー                                                                                       ,https://javdb.com/v/Y2pBp  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,美少女電影 巨乳 高挑 苗條 單體作品 首次亮相 薄馬賽克
SSNI-216  ,快感！初・体・験8 彩花のセックスたっぷりじっくり見せます3本番240分スペシャル 河北彩花                                                                                                 ,https://javdb.com/v/Bz1YG  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,森林原人 清水健 吉村卓 野島誠 鮫島          ,多P 單體作品 乳交 美少女 顏射 乳液 薄馬賽克
SSNI-309  ,河北彩花 生涯初トランス性交 エビ反り・痙攣・大絶頂オーガズム180分スペシャル （ブルーレイディスク）                                                                                    ,https://javdb.com/v/0eGn3  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,黒田悠斗 玉木玲 森林原人 小田切ジュン       ,單體作品 美少女 淫亂真實 潮吹 美乳 苗條
SIVR-226  ,【VR】アナタは寝てるだけ。河北彩花が迫ってくる天井特化3シチュエーション                                                                                                               ,https://javdb.com/v/B8Kk49 ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,單體作品 VR VR 精選綜合 口交 苗條 女上位 按摩
OVVR-197  ,S1 VR No.1STYLE 河北彩花＆愛宝すず 解禁                                                                                                                                               ,https://javdb.com/v/D2O8dp ,河北彩花 愛宝すず                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                            ,3D 巨乳 主觀視角 VR
SSIS-280  ,年下の僕を狂わせる22歳の美人可愛い家庭教師 河北彩花 （ブルーレイディスク）                                                                                                            ,https://javdb.com/v/mBm4v  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,平ボンド                                    ,家教 單體作品 接吻 戲劇 手淫
SSIS-163  ,未公開映像収録のプレミアムエディション！ 交わる体液、濃密セックス 完全ノーカットスペシャル 河北彩花 （ブルーレイディスク） （BOD）                                                    ,https://javdb.com/v/nn0W4  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,美少女電影 巨乳 高挑 單體作品 淫亂真實 接吻 薄馬賽克
SSIS-161  ,未公開映像収録のプレミアムエディション！ 快感！初・体・験8 彩花のセックスたっぷりじっくり見せます3本番240分スペシャル 河北彩花                                                        ,https://javdb.com/v/EEgAd  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,美少女電影 單體作品 乳交 多P 顏射 乳液 4小時以上作品
SSIS-164  ,未公開映像収録のプレミアムエディション！ディレクターズカット版 河北彩花のドキドキ風俗初体験 ご奉仕7回転フルコース                                                                     ,https://javdb.com/v/XO6WP  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,美少女電影 禮儀小姐 苗條 單體作品 女上位 口交 薄馬賽克
SSIS-607  ,大好きな中年おじさん…汗だくだくで…キスして…挿れて…イカせて… 河北彩花 （ブルーレイディスク）                                                                                           ,https://javdb.com/v/MmEXER ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,西島雄介 畑中哲也 野島誠 およよ中野         ,淫亂真實 單體作品 苗條 接吻 流汗 4K
SIVR-231  ,【VR】伝説の美少女‘河北彩花’がもてなすオール5つ星 超高級風俗マンションへようこそ                                                                                                      ,https://javdb.com/v/p3Onew ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,VR 單體作品 精選綜合 接吻 口交 VR 禮儀小姐
SSIS-165  ,未公開映像収録のプレミアムエディション！ 河北彩花 生涯初トランス性交 エビ反り・痙攣・大絶頂オーガズム180分スペシャル                                                                  ,https://javdb.com/v/b26Ae  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,美乳 美少女電影 苗條 單體作品 淫亂真實 潮吹 薄馬賽克
SSIS-158  ,河北彩花 Re:Start！ 第2章 本気絶頂 3本番 4K超画質で大人になった彩花の恥ずかしい姿たっぷりじっくり見せますスペシャル                                                                   ,https://javdb.com/v/abZJp  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,黒田悠斗 鮫島 マッスル澤野                  ,無毛 多P 單體作品 苗條 潮吹 薄馬賽克 藥物 4K
SSIS-361  ,1か月の禁欲を経て…本能のまま貪り、焦らされ、イキまくる。求愛オーガズム交尾 河北彩花 （ブルーレイディスク）                                                                            ,https://javdb.com/v/rJ23R  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,しみけん Qべぇ 黒田悠斗 えりぐち            ,淫亂真實 多P 單體作品 口交 接吻 美少女電影 4K
SSIS-413  ,【FANZA限定】10発射精しても、朝を迎えても、河北彩花にひたすら犯●れたい… （ブルーレイディスク） 生写真3枚付き                                                                          ,https://javdb.com/v/EY5kJ  ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,タラオ                                      ,美少女電影 蕩婦 苗條 紀錄片 單體作品 口交
OVVR-257  ,S1 河北彩花＆小宵こなん最強コンボ！VRの代名詞＜天井特化アングル＞                                                                                                                     ,https://javdb.com/v/mezEwM ,河北彩花 小宵こなん                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                            ,美少女電影 蕩婦 巨乳 接吻 女上位 VR
SSIS-560  ,「えっ！ここでするんですか？」 河北彩花に一ヶ月密着して隙あらばいきなり即ズボッ！ 前代未聞ドッキリAV大作戦 （ブルーレイディスク） 生写真3枚付き                                       ,https://javdb.com/v/W1KVxK ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,マッスル澤野 TECH 貞松大輔                  ,苗條 立即口交 單體作品 口交 第一人稱攝影
SSIS-499  ,【FANZA限定】最愛の人と数年ぶりの再会…一緒に過ごせる僅か数時間は寝る間も惜しんでSEXがしたい。 河北彩花 （ブルーレイディスク） 生写真3枚付き                                           ,https://javdb.com/v/1BAd4d ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,イセドン内村                                ,戲劇 單體作品 苗條 口交 接吻 4K
SSIS-586  ,出張先で軽蔑している中年セクハラ上司とまさかの相部屋に…朝まで続く絶倫性交に不覚にも感じてしまった私 河北彩花 （ブルーレイディスク） 生写真3枚付き                                     ,https://javdb.com/v/W14M5q ,河北彩花                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,武田大樹                                    ,單體作品 連褲襪 OL 白天出軌 美少女電影 4K
WICP-004  ,▲セクシースイーツキャンペーンSpecial DVD！                                                                                                                                            ,https://javdb.com/v/YavVz  ,河北彩花 八木奈々 天海つばさ 美谷朱里 桃園怜奈 北野未奈 百瀬あすか 東條なつ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                            ,單體作品 口交 淫語
RBB-206   ,美しいカラダ。形良し大きさ良し乳首良し！！これぞまさに神乳8時間（RBB-206）                                                                                                            ,https://javdb.com/v/RA5am  ,美園和花 辻井ほのか 美保結衣 稲場るか 河北彩花 明日花キララ 架乃ゆら 松本菜奈実 夢乃あいか                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,美乳 巨乳 戀乳癖 口交 精選綜合 4小時以上作品
OFJE-389  ,500回勃起してもなお、50回発射してもなお、S1女優に28，800秒間（480分）ずっと転がされていたい… （ブルーレイディスク）                                                                   ,https://javdb.com/v/8VZNBa ,河北彩花 筧ジュン 香水じゅん 東雲みれい 天音まひな 坂道みる 葵つかさ 三上悠亞 星宮一花 楓ふうあ 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,蕩婦 淫亂真實 接吻 口交 精選綜合 4小時以上作品
OFJE-387  ,綺麗でグラマーでエロ賢い！勃ち盛りな教え子を優しくこっそりヌく美人教師たちのイケナイ課外授業8時間                                                                                     ,https://javdb.com/v/Ynmv0e ,三上悠亞 河北彩花 安齋らら 天音まひな 小宵こなん 星宮一花 架乃ゆら 葵つかさ 羽咲みはる 筧ジュン 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,女教師 淫亂真實 精選綜合 4小時以上作品
OFJE-381  ,日本一の超単体AVメーカーS1 2022年上半期ベストセラーズ 12時間                                                                                                                          ,https://javdb.com/v/2aqGDp ,河北彩花 三上悠亞 山手梨愛 愛宝すず 七ツ森りり 夢乃あいか 小島みなみ 奥田咲 葵つかさ 星宮一花 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,巨乳 苗條 淫亂真實 精選綜合 4小時以上作品
OFJE-347  ,アナタに寄り添い優しくザーメン搾り取るS1女優24名のシコシコドリーム その気持ち良さはSEX以上！ 手コキ連続射精100連発スペシャル                                                          ,https://javdb.com/v/JK5Ez  ,三上悠亞 河北彩花 七ツ森りり 葵つかさ 天使もえ 伊賀まこ 夕美しおん 星宮一花 羽咲みはる 奥田咲 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                            ,蕩婦 手淫 精選綜合 4小時以上作品
RBB-223   ,圧倒的な肉体美。形、大きさ、感度すべてが最上級。 これぞまさに超・神乳8時間                                                                                                            ,https://javdb.com/v/MpkJ1  ,河北彩花 神宮寺ナオ 藤森里穂 初川みなみ 筧ジュン 羽咲みはる 桃乃木かな 田中ねね 桜空もも 中山ふみか 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                            ,美乳 蕩婦 巨乳 苗條 乳交 精選綜合 4小時以上作品
OFJE-405  ,イッてもイッてもエンドレス突き上げピストン100本番                                                                                                                                     ,https://javdb.com/v/k47B6J ,三上悠亞 河北彩花 山手梨愛 小宵こなん 夢乃あいか 小島みなみ 奥田咲 つばさ舞 楓ふうあ 香水じゅん 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,美少女電影 淫亂真實 女上位 潮吹 4小時以上作品 子宮頸
SIVR-254  ,【VR】イチャイチャ～前戯～セックスまで1コーナー丸ごと完全ノーカット収録 大ボリューム875分！エスワンVRベスト厳選19人！超没入19本番                                                     ,https://javdb.com/v/XWOQ61 ,七ツ森りり 奥田咲 乙白さやか 楓ふうあ 愛宝すず 河北彩花 小宵こなん 山手梨愛 小倉七海 天音まひな 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,4小時以上作品 VR 精選綜合 巨乳 接吻 女上位 精選綜合 VR
OFJE-395  ,反ってうねって全身でイク！28名の美女が生まれて初めて体験する子宮ぶっ壊れマッスルピストンBEST100本番8時間                                                                              ,https://javdb.com/v/769NR1 ,山手梨愛 三上悠亞 河北彩花 つばさ舞 羽咲みはる 安齋らら 悠紗ありす 有栖花あか 小宵こなん 葵つかさ 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                            ,巨乳 淫亂真實 精選綜合 4小時以上作品
OFJE-391  ,この美しい顔へ精子ぶっかけたい！過去最大246発射！怒涛の顔面射精ラッシュBEST （ブルーレイディスク）                                                                                    ,https://javdb.com/v/yrzreX ,三上悠亞 河北彩花 山手梨愛 天音まひな うんぱい 葵つかさ 悠紗ありす 小倉七海 七ツ森りり 架乃ゆら 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,美少女電影 巨乳 口交 顏射 精選綜合 4小時以上作品
OFJE-390  ,芸能人顔負けのルックスと極上ボディ！ 過去最高レベルのS級女優32名大集合！日本1のAVメーカーS1で2022年もっとも売れた100タイトル16時間収録！超豪華4枚組スペシャル （ブルーレイディスク）  ,https://javdb.com/v/g0D0d7 ,三上悠亞 河北彩花 山手梨愛 小宵こなん 楓ふうあ 坂道みる 小倉七海 未歩なな 香水じゅん 小島みなみ 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,巨乳 淫亂真實 精選綜合 16小時以上作品
OFJE-385  ,ヌキやすさ抜群！！豪華S1女優の完全主観フェラBEST じ～っくりアナタを見つめて即尺から発射までしゃぶり尽くしてくれる50コーナー8時間                                                      ,https://javdb.com/v/O28pkk ,三上悠亞 河北彩花 山手梨愛 坂道みる 奥田咲 香水じゅん ひなたまりん 新ありな 三宮つばき 天川そら 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                            ,美少女電影 口交 顏射 深喉 精選綜合 4小時以上作品
SIVR-233  ,【VR】S1専属女優20名×天井特化アングルVRベスト 1コーナー丸ごと完全収録 騎乗位20本番 大ボリューム921分                                                                                  ,https://javdb.com/v/p3qGJB ,三上悠亞 河北彩花 山手梨愛 小宵こなん 小倉七海 天音まひな 羽咲みはる 架乃ゆら 夢乃あいか 愛宝すず 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                            ,4小時以上作品 VR 精選綜合 接吻 女上位 精選綜合 巨乳 VR
SIVR-223  ,【VR】エスワンVRベスト第2弾 導入～前戯～セックスまで完全ノーカット収録 大ボリューム1005分！厳選20人！超没入20本番                                                                     ,https://javdb.com/v/ak8n3q ,三上悠亞 河北彩花 小宵こなん 天音まひな 小島みなみ 坂道みる 架乃ゆら 羽咲みはる 夢乃あいか 奥田咲 安倍亜沙美                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                            ,16小時以上作品 VR 精選綜合 接吻 女上位 精選綜合 VR
